"","mit_sku","year","month","mfg","unit_sale","cost","conductor","phase","kva","p_volt","s_volt","date","weeks_time"
"4464","MIT-AUT-104",2021,8,"hps",947,586.6,"CU","3",30,"600Y","480Y",2021-08-01,165.3
"4465","MIT-AUT-104",2021,10,"hps",947,586.6,"CU","3",30,"600Y","480Y",2021-10-01,174
"4466","MIT-DRY-119",2021,3,"hps",653,586.51,"AL","1",15,"240x480","120/240",2021-03-01,143.4
"4467","MIT-DRY-119",2019,10,"hps",650,586.51,"AL","1",15,"240x480","120/240",2019-10-01,69.6
"4468","MIT-DRY-119",2019,12,"hps",653,586.51,"AL","1",15,"240x480","120/240",2019-12-01,78.3
"4469","MIT-DRY-119",2020,5,"hps",653,586.51,"AL","1",15,"240x480","120/240",2020-05-01,100
"4470","MIT-DRY-119",2020,12,"hps",653,586.51,"AL","1",15,"240x480","120/240",2020-12-01,130.6
"4471","MIT-DRY-119",2020,3,"hps",800,586.51,"AL","1",15,"240x480","120/240",2020-03-01,91.3
"4472","MIT-DRY-119",2020,8,"hps",620.35,586.51,"AL","1",15,"240x480","120/240",2020-08-01,113.1
"4473","MIT-DRY-119",2020,1,"hps",653,586.51,"AL","1",15,"240x480","120/240",2020-01-01,82.7
"4474","MIT-DRY-119",2020,8,"hps",653,586.51,"AL","1",15,"240x480","120/240",2020-08-01,113.1
"4475","MIT-DRY-119",2019,8,"hps",589,586.51,"AL","1",15,"240x480","120/240",2019-08-01,60.9
"4476","MIT-DRY-111-CU",2019,12,"mgm",1260,586.08,"CU","3",45,"480D","240D/CT",2019-12-01,78.3
"4477","MIT-DRY-111-CU",2020,2,"mgm",1512,586.08,"CU","3",45,"480D","240D/CT",2020-02-01,87.1
"4478","MIT-DRY-111-CU",2019,8,"mgm",702.95,586.08,"CU","3",45,"480D","240D/CT",2019-08-01,60.9
"4479","MIT-DRY-102-CU",2020,3,"mgm",803,586.08,"CU","3",45,"480D","208Y",2020-03-01,91.3
